ID,Age,Gender,Education,District,Religion,Income,Employment,knowledge_of_ai,knowledge_of_festival,AI_affect_humanity_before,AI_affect_employment_longterm_before,feeling_of_AI_tech_before,AI_affect_humanity_after,AI_affect_employment_longterm_after,feeling_of_AI_tech_after,altman_ver_question,perception_of_sam_before,disappointment_of_cancelation_before,cancel_reason_perception_before,free_tickets_before,perception_of_sam_after,disappointment_of_cancelation_after,cancel_reason_perception_after,free_tickets_after,reason_for_cancelation_verquestion
01,19,Female,HighSchool,Center,Secular,WayAboveAverage,Employed,4,No,8,3,10,8,3,10,,7,5,5,8,8,5,5,5,LogisticReasons
02,24,Female,BachelorDegree,South,Secular,WayBelowAverage,Employed,1,No,1,1,1,1,1,1,,5,1,1,1,1,1,1,1,BDS
03,25,Female,BachelorDegree,Center,Secular,Average,Unemployed,3,No,8,3,9,9,5,9,Yes,6,5,5,6,6,5,5,5,
04,27,Female,HighSchool,South,Secular,BelowAverage,Employed,3,No,8,5,5,8,5,5,,5,5,5,5,4,4,4,5,BDS
05,25,Female,BachelorDegree,Center,Secular,BelowAverage,Employed,4,No,8,5,8,8,5,8,,5,5,5,5,5,6,5,5,BDS
06,26,Male,BachelorDegree,Center,Secular,AboveAverage,Employed,2,No,3,1,2,2,2,3,,5,5,5,5,5,5,5,5,LogisticReasons
07,52,Female,HighSchool,WestBank,Secular,Average,Employed,1,No,8,8,8,8,8,8,,6,10,5,1,1,5,1,1,BDS
08,23,Male,MastersDegree,Center,Secular,BelowAverage,Employed,4,No,9,5,8,9,6,8,,5,3,4,7,4,4,4,7,BDS
09,22,Male,BachelorDegree,Center,Secular,WayAboveAverage,Employed,3,No,8,5,5,8,5,5,,5,5,5,1,3,8,4,1,BDS
10,21,Male,BachelorDegree,North,Secular,AboveAverage,Employed,3,No,7,5,4,3,6,6,Yes,5,5,4,1,2,2,1,1,
11,24,Female,PracticalEngineer,WestBank,Secular,Average,Employed,2,No,3,1,3,3,3,4,Yes,5,5,5,5,5,5,5,5,
12,21,Female,BachelorDegree,Center,Secular,WayBelowAverage,Employed,3,No,8,7,5,6,6,4,No,5,5,5,5,5,5,2,5,
13,56,Female,MastersDegree,Center,Secular,WayAboveAverage,Employed,3,Yes,7,7,7,7,6,7,,5,5,4,3,3,3,3,2,BDS
14,22,Male,BachelorDegree,South,Secular,AboveAverage,Employed,4,No,7,2,5,7,2,5,,5,5,5,5,4,2,4,5,BDS
15,26,Male,BachelorDegree,Center,Secular,AboveAverage,Unemployed,3,No,7,5,8,2,3,3,,5,5,5,6,5,5,5,6,LogisticReasons
16,58,Male,MastersDegree,Center,Secular,WayAboveAverage,Employed,2,No,7,7,8,7,7,7,No,5,10,5,1,5,7,3,1,
17,25,Female,BachelorDegree,Center,Secular,AboveAverage,Employed,3,Yes,6,3,3,1,1,1,,8,1,5,10,3,6,3,6,BDS
18,22,Male,HighSchool,South,Traditional,AboveAverage,Employed,1,No,3,3,8,2,9,4,No,3,5,6,9,2,8,10,7,
19,53,Female,MastersDegree,Center,Traditional,AboveAverage,Employed,2,No,8,6,5,2,3,3,,7,5,5,9,5,5,5,7,LogisticReasons
20,25,Male,BachelorDegree,Center,Traditional,Average,Unemployed,2,No,7,4,8,7,4,8,No,5,3,2,5,3,2,1,2,
21,53,Male,PracticalEngineer,North,Traditional,AboveAverage,Employed,4,No,10,8,10,10,9,10,,9,5,5,5,5,5,5,5,BDS
22,53,Male,MastersDegree,Center,Traditional,WayAboveAverage,Employed,2,No,8,7,6,7,8,6,,5,5,5,1,5,10,5,1,BDS
23,29,Male,BachelorDegree,Center,Secular,AboveAverage,Employed,3,No,5,5,7,6,5,6,No,10,5,5,3,2,5,2,5,
24,26,Male,BachelorDegree,Center,Traditional,WayAboveAverage,Employed,2,No,4,6,5,5,5,5,,1,10,5,1,1,5,5,5,BDS
25,26,Male,HighSchool,Center,Secular,AboveAverage,Employed,1,No,7,4,6,6,4,6,Yes,5,5,5,6,3,2,3,6,
26,28,Female,BachelorDegree,Center,Secular,Average,Employed,3,No,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,BDS
27,25,Female,BachelorDegree,Center,Secular,AboveAverage,Employed,2,No,6,4,6,3,3,4,,5,5,5,7,6,5,3,7,LogisticReasons
28,28,Female,BachelorDegree,Center,Secular,WayAboveAverage,Employed,1,No,8,3,7,7,3,5,Yes,8,5,5,8,6,2,4,7,
29,58,Female,MastersDegree,Center,Secular,Average,Employed,2,No,7,3,8,7,3,8,Yes,5,5,5,5,1,1,2,1,
30,25,Male,BachelorDegree,Center,Secular,WayAboveAverage,Employed,4,No,9,3,9,8,3,6,Yes,5,5,5,1,5,5,5,5,
31,26,Female,BachelorDegree,Center,Secular,Average,Employed,4,No,9,4,9,8,4,9,Yes,9,5,3,9,7,4,3,7,
32,28,Male,BachelorDegree,Center,Secular,BelowAverage,Employed,3,No,9,7,5,7,7,5,,6,5,3,2,2,2,2,1,BDS
33,26,Female,BachelorDegree,North,Traditional,BelowAverage,Employed,3,Yes,6,1,4,6,1,4,,5,3,4,6,5,3,4,6,BDS
34,26,Male,BachelorDegree,Center,Secular,Average,Employed,4,No,4,9,7,6,9,6,No,4,5,5,6,5,6,5,6,
35,26,Male,BachelorDegree,Center,Secular,AboveAverage,Unemployed,3,No,9,10,10,8,10,10,Yes,7,5,3,7,7,3,4,7,
36,25,Male,HighSchool,Center,Secular,WayAboveAverage,Unemployed,3,No,7,8,7,7,8,7,,5,5,5,5,3,2,4,1,BDS
37,23,מעדיף לא לענות,BachelorDegree,Center,Secular,Average,Unemployed,3,No,7,3,4,7,3,4,,5,5,3,8,3,1,3,8,BDS
38,44,Female,MastersDegree,Center,Secular,AboveAverage,Employed,3,No,7,5,6,7,5,6,Yes,6,5,5,8,3,1,2,4,
39,42,Female,MastersDegree,Center,Secular,WayAboveAverage,Employed,4,No,8,2,9,9,2,9,Yes,5,5,5,5,5,5,5,5,
40,30,Female,BachelorDegree,Center,Secular,Average,Unemployed,2,No,9,6,10,3,3,8,Yes,8,5,5,9,7,5,5,9,
41,60,Male,PracticalEngineer,Center,Secular,AboveAverage,Retired,3,No,10,5,10,10,5,10,No,5,5,5,5,1,1,1,1,
42,56,Male,MastersDegree,Center,Secular,AboveAverage,Employed,2,No,7,1,7,7,8,7,Yes,5,5,5,5,5,5,5,5,
43,54,Male,BachelorDegree,Center,Traditional,Average,Employed,2,No,7,5,7,5,4,7,Yes,5,5,5,7,5,7,6,7,
44,46,Female,BachelorDegree,Center,Secular,Average,Employed,2,No,3,5,2,2,4,2,,5,5,5,5,5,2,2,2,BDS
45,45,Female,MastersDegree,Center,Secular,AboveAverage,Employed,2,No,5,5,5,5,5,5,,5,5,5,5,1,1,1,1,BDS
46,20,Female,HighSchool,Center,Secular,AboveAverage,Employed,3,No,6,4,6,6,4,6,Yes,7,5,4,9,2,3,3,7,
47,43,Male,MastersDegree,Center,Traditional,AboveAverage,Employed,3,No,6,3,8,6,3,8,,5,5,5,5,5,5,5,5,BDS
48,25,Female,HighSchool,Center,Secular,AboveAverage,Unemployed,1,No,3,1,3,1,1,2,,5,5,5,3,3,3,2,1,BDS
49,19,Female,HighSchool,Center,Secular,AboveAverage,Employed,2,No,8,3,3,7,4,4,,5,5,3,2,4,2,3,1,BDS
50,22,Male,HighSchool,Center,Secular,WayAboveAverage,Unemployed,4,No,8,3,6,8,3,8,Yes,1,5,5,1,1,3,5,1,
51,25,Female,BachelorDegree,Center,Secular,AboveAverage,Unemployed,4,No,8,3,8,7,3,7,No,5,5,5,10,2,2,1,7,
52,25,Female,BachelorDegree,Center,Traditional,AboveAverage,Employed,3,No,8,1,8,8,1,8,,6,5,4,8,2,1,2,6,BDS
53,22,Male,BachelorDegree,Center,Secular,WayAboveAverage,Employed,2,No,8,5,8,8,6,8,Yes,8,5,9,7,8,10,8,7,
54,32,Male,BachelorDegree,Center,Secular,WayAboveAverage,Employed,2,No,7,7,8,3,3,4,,5,5,5,8,5,5,5,7,LogisticReasons
55,36,Male,BachelorDegree,North,Secular,Average,Employed,3,No,8,4,8,5,3,8,,2,5,5,1,5,5,5,1,LogisticReasons
56,45,Male,MastersDegree,Center,Secular,WayAboveAverage,Employed,3,No,6,5,6,2,2,3,,6,6,6,8,5,5,5,7,LogisticReasons
57,72,Female,BachelorDegree,Center,Traditional,Average,Retired,1,No,6,5,7,3,3,4,,4,5,5,6,3,5,5,6,LogisticReasons
58,31,Male,BachelorDegree,Center,Traditional,AboveAverage,Employed,3,No,6,5,6,6,4,6,Yes,5,5,5,7,3,2,2,5,
59,45,Female,BachelorDegree,מחוז ירושלים,Secular,Average,Employed,2,No,6,4,5,6,3,5,Yes,5,5,5,5,3,1,2,4,
60,25,Female,BachelorDegree,North,Secular,BelowAverage,Employed,3,No,9,6,9,8,5,9,Yes,9,5,5,8,8,2,3,6,
61,35,Male,BachelorDegree,Center,Secular,AboveAverage,Employed,2,No,7,5,7,7,5,7,Yes,7,5,6,8,4,4,3,5,
62,16,Female,HighSchool,Center,Traditional,Average,Unemployed,2,No,5,5,5,3,4,4,,8,5,5,9,5,1,3,5,LogisticReasons
63,17,Female,HighSchool,Center,Traditional,AboveAverage,Unemployed,1,No,6,6,6,6,6,6,Yes,8,5,6,10,5,3,3,7,
64,18,Female,HighSchool,Center,Secular,Average,Unemployed,1,No,6,6,6,6,6,6,Yes,6,6,6,6,2,3,2,3,
65,25,Male,BachelorDegree,מחוז ירושלים,Traditional,AboveAverage,Unemployed,3,No,6,5,6,4,2,5,,5,5,5,7,5,5,5,6,LogisticReasons
66,24,Female,BachelorDegree,Center,Secular,WayAboveAverage,Unemployed,3,No,7,2,8,4,2,4,,5,5,7,10,7,10,5,9,LogisticReasons
67,20,Female,HighSchool,Center,Secular,Average,Employed,2,No,6,5,9,6,5,8,Yes,6,5,5,9,3,3,3,7,
68,52,Female,BachelorDegree,North,Secular,AboveAverage,Employed,1,No,4,3,5,4,2,5,Yes,5,5,5,8,3,3,3,7,
69,33,Male,PracticalEngineer,South,Traditional,BelowAverage,Employed,1,No,3,1,10,8,5,7,Yes,3,5,5,2,1,1,1,1,
70,29,Female,MastersDegree,Center,Secular,WayAboveAverage,Employed,3,No,6,2,7,4,1,6,Yes,10,5,5,10,6,10,4,4,